date,publish_date,equity_pcr,equity_pcr_pctl,is_proxy,source
2018-01-30,2018-01-30,0.6218,100.0,True,vix_derived_proxy
2018-01-31,2018-01-31,0.6031,90.48,True,vix_derived_proxy
2018-02-01,2018-02-01,0.6021,86.36,True,vix_derived_proxy
2018-02-02,2018-02-02,0.6596,100.0,True,vix_derived_proxy
2018-02-05,2018-02-05,0.9598,100.0,True,vix_derived_proxy
2018-02-06,2018-02-06,0.8497,96.0,True,vix_derived_proxy
2018-02-07,2018-02-07,0.8159,92.31,True,vix_derived_proxy
2018-02-08,2018-02-08,0.9019,96.3,True,vix_derived_proxy
2018-02-09,2018-02-09,0.8359,89.29,True,vix_derived_proxy
2018-02-12,2018-02-12,0.7842,82.76,True,vix_derived_proxy
2018-02-13,2018-02-13,0.7745,80.0,True,vix_derived_proxy
2018-02-14,2018-02-14,0.6889,77.42,True,vix_derived_proxy
2018-02-15,2018-02-15,0.6869,75.0,True,vix_derived_proxy
2018-02-16,2018-02-16,0.6919,78.79,True,vix_derived_proxy
2018-02-20,2018-02-20,0.709,79.41,True,vix_derived_proxy
2018-02-21,2018-02-21,0.7003,77.14,True,vix_derived_proxy
2018-02-22,2018-02-22,0.6808,66.67,True,vix_derived_proxy
2018-02-23,2018-02-23,0.6473,62.16,True,vix_derived_proxy
2018-02-26,2018-02-26,0.637,60.53,True,vix_derived_proxy
2018-02-27,2018-02-27,0.6789,66.67,True,vix_derived_proxy
2018-02-28,2018-02-28,0.6978,77.5,True,vix_derived_proxy
2018-03-01,2018-03-01,0.737,82.93,True,vix_derived_proxy
2018-03-02,2018-03-02,0.6939,73.81,True,vix_derived_proxy
2018-03-05,2018-03-05,0.6809,65.12,True,vix_derived_proxy
2018-03-06,2018-03-06,0.6754,59.09,True,vix_derived_proxy
2018-03-07,2018-03-07,0.6664,57.78,True,vix_derived_proxy
2018-03-08,2018-03-08,0.6481,54.35,True,vix_derived_proxy
2018-03-09,2018-03-09,0.6196,46.81,True,vix_derived_proxy
2018-03-12,2018-03-12,0.6367,50.0,True,vix_derived_proxy
2018-03-13,2018-03-13,0.6453,53.06,True,vix_derived_proxy
2018-03-14,2018-03-14,0.6584,58.0,True,vix_derived_proxy
2018-03-15,2018-03-15,0.6489,56.86,True,vix_derived_proxy
2018-03-16,2018-03-16,0.637,49.04,True,vix_derived_proxy
2018-03-19,2018-03-19,0.6853,71.7,True,vix_derived_proxy
2018-03-20,2018-03-20,0.673,62.96,True,vix_derived_proxy
2018-03-21,2018-03-21,0.6679,61.82,True,vix_derived_proxy
2018-03-22,2018-03-22,0.7501,87.5,True,vix_derived_proxy
2018-03-23,2018-03-23,0.7731,87.72,True,vix_derived_proxy
2018-03-26,2018-03-26,0.7155,82.76,True,vix_derived_proxy
