date,publish_date,cnn_fear_greed,cnn_fear_greed_pctl,is_proxy
2011-01-03,2011-01-03,68.0,,True
2011-01-04,2011-01-04,68.0,,True
2011-01-05,2011-01-05,67.0,,True
2011-01-06,2011-01-06,64.0,,True
2011-01-07,2011-01-07,63.0,,True
2011-01-10,2011-01-10,58.0,,True
2011-01-11,2011-01-11,58.0,,True
2011-01-12,2011-01-12,58.0,,True
2011-01-13,2011-01-13,58.0,,True
2011-01-14,2011-01-14,60.0,,True
2011-01-18,2011-01-18,56.0,,True
2011-01-19,2011-01-19,55.0,,True
2011-01-20,2011-01-20,54.0,,True
2011-01-21,2011-01-21,47.0,,True
2011-01-24,2011-01-24,45.0,,True
2011-01-25,2011-01-25,43.0,,True
2011-01-26,2011-01-26,43.0,,True
2011-01-27,2011-01-27,43.0,,True
2011-01-28,2011-01-28,43.0,,True
2011-01-31,2011-01-31,41.0,,True
2011-02-01,2011-02-01,41.0,,True
2011-02-02,2011-02-02,46.0,,True
2011-02-03,2011-02-03,47.0,,True
2011-02-04,2011-02-04,49.0,,True
2011-02-07,2011-02-07,56.0,,True
2011-02-08,2011-02-08,56.0,,True
2011-02-09,2011-02-09,56.0,,True
2011-02-10,2011-02-10,56.0,,True
2011-02-11,2011-02-11,56.0,,True
2011-02-14,2011-02-14,61.0,,True
2011-02-15,2011-02-15,61.0,,True
2011-02-16,2011-02-16,61.0,,True
2011-02-17,2011-02-17,61.0,,True
2011-02-18,2011-02-18,56.0,,True
2011-02-22,2011-02-22,42.0,,True
2011-02-23,2011-02-23,42.0,,True
2011-02-24,2011-02-24,42.0,,True
2011-02-25,2011-02-25,42.0,,True
2011-02-28,2011-02-28,43.0,,True
2011-03-01,2011-03-01,43.0,,True
2011-03-02,2011-03-02,42.0,,True
2011-03-03,2011-03-03,41.0,,True
2011-03-04,2011-03-04,39.0,,True
2011-03-07,2011-03-07,35.0,,True
2011-03-08,2011-03-08,27.0,,True
2011-03-09,2011-03-09,26.0,,True
2011-03-10,2011-03-10,26.0,,True
2011-03-11,2011-03-11,26.0,,True
2011-03-14,2011-03-14,13.0,,True
2011-03-15,2011-03-15,13.0,,True
2011-03-16,2011-03-16,11.0,,True
2011-03-17,2011-03-17,9.0,,True
2011-03-18,2011-03-18,9.0,,True
2011-03-21,2011-03-21,14.0,,True
2011-03-22,2011-03-22,15.0,,True
2011-03-23,2011-03-23,16.0,,True
2011-03-24,2011-03-24,16.0,,True
2011-03-25,2011-03-25,19.0,,True
2011-03-28,2011-03-28,23.0,,True
2011-03-29,2011-03-29,23.0,20.0,True
2011-03-30,2011-03-30,24.0,21.31,True
2011-03-31,2011-03-31,24.0,22.58,True
2011-04-01,2011-04-01,27.0,30.16,True
2011-04-04,2011-04-04,31.0,31.25,True
2011-04-05,2011-04-05,35.0,33.85,True
2011-04-06,2011-04-06,37.0,34.85,True
2011-04-07,2011-04-07,37.0,35.82,True
2011-04-08,2011-04-08,37.0,36.76,True
2011-04-11,2011-04-11,34.0,30.43,True
2011-04-12,2011-04-12,33.0,30.0,True
2011-04-13,2011-04-13,33.0,30.99,True
2011-04-14,2011-04-14,30.0,27.78,True
2011-04-15,2011-04-15,28.0,27.4,True
2011-04-18,2011-04-18,24.0,20.27,True
2011-04-19,2011-04-19,24.0,21.33,True
2011-04-20,2011-04-20,25.0,22.37,True
2011-04-21,2011-04-21,30.0,32.47,True
2011-04-25,2011-04-25,35.0,41.03,True
2011-04-26,2011-04-26,36.0,41.77,True
2011-04-27,2011-04-27,37.0,46.25,True
2011-04-28,2011-04-28,37.0,46.91,True
2011-04-29,2011-04-29,41.0,52.44,True
