# MSTR/Strategy BTC holdings seed for T17 mNAV.
# Source: Strategy official Bitcoin Purchases page, reported BTC total after each listed purchase.
# Update flow: after each quarterly report or material 8-K/purchase notice, append one
# row using the report date and total BTC held as reported. Do not backfill a later
# holding count before its reported date; this file is point-in-time input.
# URL: https://www.strategy.com/purchases
date,btc_count
2020-08-10,21454
2020-09-14,38250
2020-12-21,70470
2021-02-19,90531
2021-06-21,105084
2021-09-13,114041
2021-12-09,122477
2022-02-01,125051
2022-04-05,129218
2022-06-29,129698
2022-09-20,129999
2022-12-28,132500
2023-03-23,138955
2023-04-05,140000
2023-06-28,152333
2023-08-01,152800
2023-09-25,158245
2023-11-01,158400
2023-11-30,174530
2023-12-27,189150
2024-02-06,190000
2024-02-26,193000
2024-03-11,205000
2024-03-19,214245
2024-04-29,214400
2024-06-20,226331
2024-08-01,226500
2024-09-13,244800
2024-09-20,252220
2024-11-11,279420
2024-11-18,331200
2024-11-25,386700
2024-12-02,402100
2024-12-09,423650
2024-12-16,439000
2024-12-23,444262
2024-12-30,446400
2025-01-06,447470
2025-01-13,450000
2025-01-21,461000
2025-01-27,471107
2025-02-10,478740
2025-02-24,499096
2025-03-17,499226
2025-03-24,506137
2025-03-31,528185
2025-04-14,531644
2025-04-21,538200
2025-04-28,553555
2025-05-05,555450
2025-05-12,568840
2025-05-19,576230
2025-05-26,580250
2025-06-02,580955
2025-06-09,582000
2025-06-16,592100
2025-06-23,592345
2025-06-30,597325
2025-07-14,601550
2025-07-21,607770
2025-07-29,628791
2025-08-11,628946
2025-08-18,629376
2025-08-25,632457
2025-09-02,636505
2025-09-08,638460
2025-09-15,638985
2025-09-22,639835
2025-09-29,640031
2025-10-13,640250
2025-10-20,640418
2025-10-27,640808
2025-11-03,641205
2025-11-10,641692
2025-11-17,649870
2025-12-01,650000
2025-12-08,660624
2025-12-15,671268
2025-12-29,672497
2025-12-31,672500
2026-01-05,673783
2026-01-12,687410
2026-01-20,709715
2026-01-26,712647
2026-02-02,713502
2026-02-09,714644
2026-02-17,717131
2026-02-23,717722
2026-03-02,720737
2026-03-09,738731
2026-03-16,761068
2026-03-23,762099
2026-04-06,766970
2026-04-13,780897
2026-04-20,815061
2026-04-27,818334
2026-05-11,818869
2026-05-18,843738
2026-06-01,843706
2026-06-08,845256
