# MSTR quarterly basic weighted-avg shares outstanding (SEC EDGAR XBRL,
# us-gaap:WeightedAverageNumberOfSharesOutstandingBasic, quarterly spans only).
# date = SEC filing date (PIT-safe availability), shares = quarter basic avg,
# SPLIT-ADJUSTED: filings before 2024-08-07 are x10 (10:1 split eff 2024-08-08)
# to match yfinance split-adjusted prices. Refresh after each 10-Q/10-K.
date,shares
2011-08-03,107090000
2011-11-03,107290000
2012-05-04,108060000
2012-08-03,108750000
2012-11-02,110500000
2013-05-03,112950000
2013-08-01,113010000
2013-10-30,113010000
2014-04-29,113010000
2014-07-30,113010000
2014-10-29,113010000
2015-04-30,113210000
2015-07-30,113490000
2015-10-29,113650000
2016-04-27,114080000
2016-07-28,114280000
2016-10-27,114310000
2017-04-27,114390000
2017-07-27,114440000
2017-10-26,114470000
2018-04-26,114470000
2018-07-26,114590000
2018-10-25,114670000
2019-04-30,103280000
2019-07-30,102400000
2019-10-29,102510000
2020-04-28,99760000
2020-07-28,97390000
2020-10-27,96160000
2021-04-29,96470000
2021-07-29,97460000
2021-10-28,99990000
2022-05-03,112890000
2022-08-02,113000000
2022-11-01,113080000
2023-05-01,118340000
2023-08-01,132470000
2023-11-01,142210000
2024-05-01,171940000
2024-08-06,178610000
2024-10-31,197273000
2025-05-05,256473000
2025-08-05,275244000
2025-11-03,284376000
2026-05-06,333913000
