date,publish_date,naaim_exposure,naaim_pctl,is_proxy
2006-07-05,2006-07-05,19.44,,False
2006-07-12,2006-07-12,31.2,,False
2006-07-19,2006-07-19,18.76,,False
2006-07-26,2006-07-26,17.38,,False
2006-08-02,2006-08-02,44.23,,False
2006-08-09,2006-08-09,45.02,,False
2006-08-16,2006-08-16,38.6,,False
2006-08-23,2006-08-23,42.1,,False
2006-08-30,2006-08-30,42.1,,False
2006-09-06,2006-09-06,49.38,,False
2006-09-13,2006-09-13,45.8,,False
2006-09-20,2006-09-20,78.0,,False
2006-09-27,2006-09-27,49.9,,False
2006-10-04,2006-10-04,69.7,,False
2006-10-11,2006-10-11,60.09,,False
2006-10-18,2006-10-18,84.41,,False
2006-10-25,2006-10-25,80.16,,False
2006-11-01,2006-11-01,80.96,,False
2006-11-08,2006-11-08,73.96,,False
2006-11-15,2006-11-15,68.1,70.0,False
2006-11-22,2006-11-22,92.43,100.0,False
2006-11-29,2006-11-29,86.67,95.45,False
2006-12-06,2006-12-06,74.73,73.91,False
2006-12-13,2006-12-13,93.0,100.0,False
2006-12-20,2006-12-20,92.91,96.0,False
2006-12-27,2006-12-27,85.17,84.62,False
2007-01-03,2007-01-03,100.05,100.0,False
2007-01-10,2007-01-10,58.88,46.43,False
2007-01-17,2007-01-17,84.89,79.31,False
2007-01-24,2007-01-24,72.59,56.67,False
2007-01-31,2007-01-31,80.75,70.97,False
2007-02-07,2007-02-07,82.0,75.0,False
2007-02-14,2007-02-14,79.09,63.64,False
2007-02-21,2007-02-21,73.68,52.94,False
2007-02-28,2007-02-28,89.33,88.57,False
2007-03-07,2007-03-07,52.4,36.11,False
2007-03-14,2007-03-14,38.05,13.51,False
2007-03-21,2007-03-21,47.7,31.58,False
2007-03-28,2007-03-28,44.54,25.64,False
2007-04-04,2007-04-04,45.65,30.0,False
2007-04-11,2007-04-11,59.32,46.34,False
2007-04-18,2007-04-18,54.14,42.86,False
2007-04-25,2007-04-25,75.42,65.12,False
2007-05-02,2007-05-02,82.67,79.55,False
2007-05-09,2007-05-09,73.83,57.78,False
2007-05-16,2007-05-16,87.38,89.13,False
2007-05-23,2007-05-23,82.5,76.6,False
2007-05-30,2007-05-30,80.55,68.75,False
2007-06-06,2007-06-06,57.63,38.78,False
2007-06-13,2007-06-13,53.04,36.0,False
2007-06-20,2007-06-20,61.47,47.06,False
2007-06-27,2007-06-27,74.23,59.62,False
2007-07-05,2007-07-05,56.06,37.74,False
2007-07-11,2007-07-11,62.39,48.15,False
2007-07-18,2007-07-18,74.13,60.0,False
2007-07-25,2007-07-25,40.58,12.5,False
2007-08-01,2007-08-01,39.0,12.28,False
2007-08-08,2007-08-08,43.82,18.97,False
2007-08-15,2007-08-15,21.25,6.78,False
2007-08-22,2007-08-22,38.19,11.67,False
2007-08-29,2007-08-29,-2.11,1.64,False
2007-09-05,2007-09-05,39.62,17.74,False
2007-09-12,2007-09-12,46.55,33.33,False
2007-09-19,2007-09-19,63.5,54.69,False
2007-09-26,2007-09-26,77.36,70.77,False
2007-10-03,2007-10-03,75.49,69.7,False
2007-10-10,2007-10-10,66.43,53.73,False
2007-10-17,2007-10-17,86.46,89.71,False
2007-10-24,2007-10-24,69.14,55.07,False
2007-10-31,2007-10-31,65.69,51.43,False
2007-11-07,2007-11-07,84.44,85.92,False
2007-11-14,2007-11-14,68.35,54.17,False
2007-11-21,2007-11-21,51.04,34.25,False
2007-11-28,2007-11-28,51.07,35.14,False
2007-12-05,2007-12-05,69.43,57.33,False
2007-12-12,2007-12-12,73.57,60.53,False
2007-12-19,2007-12-19,56.27,40.26,False
