date,publish_date,nfci,nfci_pctl
1990-01-05,1990-01-06,0.034,
1990-01-12,1990-01-13,0.046,
1990-01-19,1990-01-20,0.056,
1990-01-26,1990-01-27,0.063,
1990-02-02,1990-02-03,0.065,
1990-02-09,1990-02-10,0.062,
1990-02-16,1990-02-17,0.057,
1990-02-23,1990-02-24,0.051,
1990-03-02,1990-03-03,0.046,
1990-03-09,1990-03-10,0.045,
1990-03-16,1990-03-17,0.051,
1990-03-23,1990-03-24,0.062,
1990-03-30,1990-03-31,0.077,
1990-04-06,1990-04-07,0.093,
1990-04-13,1990-04-14,0.106,
1990-04-20,1990-04-21,0.112,
1990-04-27,1990-04-28,0.109,
1990-05-04,1990-05-05,0.095,
1990-05-11,1990-05-12,0.069,
1990-05-18,1990-05-19,0.034,
1990-05-25,1990-05-26,-0.007,
1990-06-01,1990-06-02,-0.05,
1990-06-08,1990-06-09,-0.09,
1990-06-15,1990-06-16,-0.123,
1990-06-22,1990-06-23,-0.146,
1990-06-29,1990-06-30,-0.156,
1990-07-06,1990-07-07,-0.153,
1990-07-13,1990-07-14,-0.138,
1990-07-20,1990-07-21,-0.111,
1990-07-27,1990-07-28,-0.074,
1990-08-03,1990-08-04,-0.03,
1990-08-10,1990-08-11,0.02,
1990-08-17,1990-08-18,0.073,
1990-08-24,1990-08-25,0.128,
1990-08-31,1990-09-01,0.182,
1990-09-07,1990-09-08,0.236,
1990-09-14,1990-09-15,0.287,
1990-09-21,1990-09-22,0.334,
1990-09-28,1990-09-29,0.378,
1990-10-05,1990-10-06,0.411,
1990-10-12,1990-10-13,0.434,
1990-10-19,1990-10-20,0.448,
1990-10-26,1990-10-27,0.453,
1990-11-02,1990-11-03,0.454,
1990-11-09,1990-11-10,0.453,
1990-11-16,1990-11-17,0.453,
1990-11-23,1990-11-24,0.458,
1990-11-30,1990-12-01,0.468,
1990-12-07,1990-12-08,0.481,
1990-12-14,1990-12-15,0.496,
1990-12-21,1990-12-22,0.511,
1990-12-28,1990-12-29,0.518,
1991-01-04,1991-01-05,0.51,
1991-01-11,1991-01-12,0.489,
1991-01-18,1991-01-19,0.45,
1991-01-25,1991-01-26,0.391,
1991-02-01,1991-02-02,0.323,
1991-02-08,1991-02-09,0.248,
1991-02-15,1991-02-16,0.173,
1991-02-22,1991-02-23,0.102,51.66666666666667
1991-03-01,1991-03-02,0.037,24.59016393442623
1991-03-08,1991-03-09,-0.02,17.741935483870968
1991-03-15,1991-03-16,-0.07,14.285714285714285
1991-03-22,1991-03-23,-0.113,9.375
1991-03-29,1991-03-30,-0.149,4.615384615384616
1991-04-05,1991-04-06,-0.179,1.5151515151515151
1991-04-12,1991-04-13,-0.203,1.4925373134328357
1991-04-19,1991-04-20,-0.222,1.4705882352941175
1991-04-26,1991-04-27,-0.236,1.4492753623188406
1991-05-03,1991-05-04,-0.244,1.4285714285714286
1991-05-10,1991-05-11,-0.248,1.4084507042253522
1991-05-17,1991-05-18,-0.246,2.7777777777777777
1991-05-24,1991-05-25,-0.242,5.47945205479452
1991-05-31,1991-06-01,-0.237,6.756756756756757
1991-06-07,1991-06-08,-0.235,9.333333333333334
1991-06-14,1991-06-15,-0.239,6.578947368421052
1991-06-21,1991-06-22,-0.25,1.2987012987012987
1991-06-28,1991-06-29,-0.27,1.282051282051282
1991-07-05,1991-07-06,-0.299,1.2658227848101267
1991-07-12,1991-07-13,-0.335,1.25
1991-07-19,1991-07-20,-0.375,1.2345679012345678
1991-07-26,1991-07-27,-0.415,1.2195121951219512
1991-08-02,1991-08-03,-0.453,1.2048192771084338
1991-08-09,1991-08-10,-0.485,1.1904761904761905
1991-08-16,1991-08-17,-0.511,1.1764705882352942
1991-08-23,1991-08-24,-0.529,1.1627906976744187
1991-08-30,1991-08-31,-0.542,1.1494252873563218
1991-09-06,1991-09-07,-0.549,1.1363636363636365
1991-09-13,1991-09-14,-0.555,1.1235955056179776
1991-09-20,1991-09-21,-0.558,1.1111111111111112
1991-09-27,1991-09-28,-0.562,1.098901098901099
1991-10-04,1991-10-05,-0.565,1.0869565217391304
1991-10-11,1991-10-12,-0.569,1.0752688172043012
1991-10-18,1991-10-19,-0.575,1.0638297872340425
1991-10-25,1991-10-26,-0.582,1.0526315789473684
1991-11-01,1991-11-02,-0.591,1.0416666666666665
1991-11-08,1991-11-09,-0.6,1.0309278350515463
1991-11-15,1991-11-16,-0.61,1.0204081632653061
1991-11-22,1991-11-23,-0.62,1.0101010101010102
1991-11-29,1991-11-30,-0.63,1.0
1991-12-06,1991-12-07,-0.64,0.9900990099009901
1991-12-13,1991-12-14,-0.65,0.9803921568627451
1991-12-20,1991-12-21,-0.658,0.9708737864077669
1991-12-27,1991-12-28,-0.665,0.9615384615384616
1992-01-03,1992-01-04,-0.667,0.9523809523809524
1992-01-10,1992-01-11,-0.667,1.8867924528301887
1992-01-17,1992-01-18,-0.664,3.7383177570093453
1992-01-24,1992-01-25,-0.661,4.62962962962963
1992-01-31,1992-02-01,-0.658,6.422018348623854
1992-02-07,1992-02-08,-0.656,7.2727272727272725
1992-02-14,1992-02-15,-0.655,8.108108108108109
1992-02-21,1992-02-22,-0.655,8.928571428571429
1992-02-28,1992-02-29,-0.656,7.964601769911504
1992-03-06,1992-03-07,-0.659,5.263157894736842
1992-03-13,1992-03-14,-0.664,4.3478260869565215
1992-03-20,1992-03-21,-0.672,0.8620689655172413
1992-03-27,1992-03-28,-0.684,0.8547008547008548
1992-04-03,1992-04-04,-0.7,0.847457627118644
1992-04-10,1992-04-11,-0.719,0.8403361344537815
1992-04-17,1992-04-18,-0.74,0.8333333333333334
1992-04-24,1992-04-25,-0.762,0.8264462809917356
1992-05-01,1992-05-02,-0.784,0.819672131147541
