date,calls_total,puts_total,pcr_total,calls_cust,puts_cust,pcr_cust
2024-06-07,71739451,38757387,0.5403,33525587,16309055,0.4865
2024-06-14,90693161,49135471,0.5418,42647522,20659078,0.4844
2024-06-21,77475522,44552058,0.575,36783902,18123741,0.4927
2024-06-28,85358400,46745158,0.5476,39434184,19735908,0.5005
2024-07-05,64883016,33659094,0.5188,30451091,14548435,0.4778
2024-07-12,95497677,47165593,0.4939,44825962,19823130,0.4422
2024-07-19,93012905,50851418,0.5467,43892295,21108671,0.4809
2024-07-26,75596808,47961106,0.6344,34754339,19898481,0.5725
2024-08-02,82036426,55956882,0.6821,38018520,22787525,0.5994
2024-08-09,73476584,53852052,0.7329,34138619,21789050,0.6383
2024-08-16,76864207,44947463,0.5848,35600416,19020003,0.5343
2024-08-23,73770178,39238669,0.5319,34257399,16278163,0.4752
2024-08-30,67712475,41346592,0.6106,31837551,16863151,0.5297
2024-09-06,56527836,39553411,0.6997,26553684,15674891,0.5903
2024-09-13,73487474,44237188,0.602,33846157,18522490,0.5473
2024-09-20,75574043,41734429,0.5522,35249876,17966447,0.5097
2024-09-27,82192339,41527311,0.5052,38399469,17771858,0.4628
2024-10-04,76030762,41132491,0.541,35603288,17098182,0.4802
2024-10-11,79904357,42218232,0.5284,38393069,18196556,0.474
2024-10-18,86003499,43725047,0.5084,41128499,18582500,0.4518
2024-10-25,76524012,43296315,0.5658,36667051,18265586,0.4981
2024-11-01,83258068,48632069,0.5841,40462571,20523569,0.5072
2024-11-08,102328925,52731459,0.5153,48516815,23442347,0.4832
2024-11-15,106871596,57035366,0.5337,52094554,23319947,0.4476
2024-11-22,97327842,48353362,0.4968,45743988,20071983,0.4388
2024-11-29,68820218,33771712,0.4907,32592856,14114158,0.433
2024-12-06,99266224,47577283,0.4793,47917172,19943645,0.4162
2024-12-13,102778757,51349380,0.4996,50200340,21160342,0.4215
2024-12-20,104804644,57721092,0.5507,50424003,23385881,0.4638
2024-12-27,60054614,29704786,0.4946,28252815,11569963,0.4095
2025-01-03,64967461,33726293,0.5191,30270333,13522245,0.4467
2025-01-10,80908373,42528315,0.5256,38478160,17091864,0.4442
2025-01-17,94345260,52000950,0.5512,43523470,20816836,0.4783
2025-01-24,81275791,38679275,0.4759,37921157,16518898,0.4356
2025-01-31,108382801,58981302,0.5442,50066541,23608812,0.4715
2025-02-07,100822226,53791591,0.5335,47914510,22758558,0.475
2025-02-14,106142451,52885524,0.4983,50771376,22531474,0.4438
2025-02-21,95201518,52020404,0.5464,45862960,21184327,0.4619
2025-02-28,101307659,64410615,0.6358,46826296,26800748,0.5723
2025-03-07,95846841,59584718,0.6217,43852074,23861300,0.5441
2025-03-14,87780748,57060419,0.65,39513817,23211947,0.5874
2025-03-21,78112954,48575399,0.6219,35457986,19531728,0.5508
2025-03-28,81869977,52404970,0.6401,38180583,21525026,0.5638
2025-04-04,86630392,64483297,0.7443,40260418,25097373,0.6234
2025-04-11,96453308,69326410,0.7188,41942551,27653291,0.6593
2025-04-18,58951225,42650805,0.7235,27792759,16758413,0.603
2025-04-25,81308402,48665993,0.5985,36785085,21483536,0.584
2025-05-02,79923580,46431686,0.581,37188444,19940934,0.5362
2025-05-09,85414922,47750605,0.559,40541627,20339991,0.5017
2025-05-16,118091110,57460563,0.4866,54845697,24629866,0.4491
2025-05-23,87108328,48059464,0.5517,41812509,19623504,0.4693
2025-05-30,72908357,40858670,0.5604,34569047,16516449,0.4778
2025-06-06,91133037,50748776,0.5569,42384248,21118069,0.4983
2025-06-13,95267786,50659091,0.5318,44836973,20478409,0.4567
2025-06-20,72788710,43393095,0.5962,34034332,16786950,0.4932
2025-06-27,102367766,51608411,0.5041,48459138,22086570,0.4558
2025-07-04,80703698,37447672,0.464,37884848,15897455,0.4196
2025-07-11,96926242,47776299,0.4929,46624053,20413986,0.4378
2025-07-18,111590203,52643100,0.4718,53604401,22651735,0.4226
2025-08-01,104509658,59043771,0.565,51102413,24138373,0.4724
2025-08-08,108981235,59548695,0.5464,52639856,25745209,0.4891
2025-08-15,120269642,59762300,0.4969,57053043,25261731,0.4428
2025-08-22,106164136,56121353,0.5286,49903159,24056975,0.4821
2025-08-29,101719924,51787619,0.5091,48923298,22086412,0.4514
2025-09-05,86608803,46015322,0.5313,41387996,19642044,0.4746
2025-09-12,129536104,60779514,0.4692,62221498,26789047,0.4305
2025-09-19,142534592,61666501,0.4326,68425660,26317608,0.3846
2025-09-26,139943039,63180662,0.4515,67345339,26224362,0.3894
2025-10-03,139593060,61739553,0.4423,67192268,26077369,0.3881
2025-10-10,152983531,70265430,0.4593,75577237,29174488,0.386
2025-10-17,131861652,63222292,0.4795,63466795,26250435,0.4136
2025-10-24,123258501,60008646,0.4869,58648772,24518898,0.4181
2025-10-31,135355756,61492469,0.4543,65669335,25603536,0.3899
2025-11-07,119235435,64707591,0.5427,56782443,27193788,0.4789
2025-11-14,112638669,58637682,0.5206,53161503,25086408,0.4719
2025-11-21,110687347,71622946,0.6471,50685016,27879124,0.55
2025-11-28,77448816,38516243,0.4973,35455583,16315748,0.4602
2025-12-05,100048128,49063878,0.4904,47462298,20909433,0.4405
2025-12-12,103293981,48916471,0.4736,47538277,19755051,0.4156
2025-12-19,95542039,58888539,0.6164,45199452,22853174,0.5056
2025-12-26,58513926,32574008,0.5567,27410404,11893649,0.4339
2026-01-02,64385483,34793121,0.5404,28919064,12853597,0.4445
2026-01-09,111214495,55772202,0.5015,52103468,21683468,0.4162
2026-01-16,112535622,67465767,0.5995,52584162,23286521,0.4428
2026-01-23,89486884,45371100,0.507,42360857,18409961,0.4346
2026-01-30,103165361,56383795,0.5465,50368565,22247158,0.4417
2026-02-06,117608187,71902862,0.6114,55303352,29886317,0.5404
2026-02-13,105995812,65539735,0.6183,48280403,25561238,0.5294
2026-02-20,75756813,50985440,0.673,34375430,19230145,0.5594
2026-02-27,104011579,60638510,0.583,47511902,24500278,0.5157
2026-03-06,99497832,60843336,0.6115,45087277,23157452,0.5136
2026-03-13,91833270,57146257,0.6223,41472497,21587448,0.5205
2026-03-20,86918733,64259045,0.7393,39922680,22236138,0.557
2026-03-27,85975828,55006580,0.6398,38590563,22313456,0.5782
2026-04-03,68807614,43981304,0.6392,30794247,18795164,0.6103
2026-04-10,89848783,53410640,0.5945,41897434,23054665,0.5503
2026-04-17,133935382,58385218,0.4359,63146531,25118120,0.3978
2026-04-24,114005812,58467913,0.5129,53842798,23899338,0.4439
2026-05-01,117612044,57529187,0.4891,55709275,23477333,0.4214
2026-05-08,133532409,63225644,0.4735,64193478,26748933,0.4167
2026-05-15,140670476,61909697,0.4401,68334060,25703869,0.3762
2026-05-22,115896718,53564021,0.4622,54356977,22053132,0.4057
2026-05-29,115726578,46999642,0.4061,55182428,19334521,0.3504
2026-06-05,138779823,64297107,0.4633,68265365,26822107,0.3929
