date,flow_in_ex_mcap_z90,flow_net_ex_mcap_z90,flow_in_ex_mcap,flow_net_ex_mcap,CapMVRVCur,CapMrktCurUSD
2018-01-02,,,0.002278287874181081,-0.0006039795202147884,2.69423548,225887722580.94855
2018-01-03,,,0.004392099758449441,0.0009452514147172522,2.92544313,247555189825.1814
2018-01-04,,,0.0034019104341839706,0.00028707391928282347,2.96026687,251879335164.3486
2018-01-05,,,0.004622566838434862,-0.00017008923639522762,2.94402195,252918055361.86145
2018-01-08,,,0.003556093224945484,0.0005928501267838531,3.04278121,272505179860.49536
2018-01-09,,,0.004202789319421299,5.541333005971755e-05,2.80152545,250807207092.34375
2018-01-10,,,0.003664661005659757,-4.351698778931421e-05,2.69017079,241453646852.43872
2018-01-11,,,0.004479487655109739,0.00041131491358344433,2.73334467,246362365863.32312
2018-01-12,,,0.0035265748947870645,-0.00014793933923509456,2.45400706,221498893134.71695
2018-01-16,,,0.0035315753479514926,0.00046501971503848404,2.50804935,228408095575.09323
2018-01-17,,,0.005581763892465743,0.0008519879820300365,2.12079726,192121046221.5878
2018-01-18,,,0.005649740380700809,0.0008094825325458834,2.07376393,187582403000.91153
2018-01-19,,,0.004587830740012825,0.0006403299055224473,2.09352287,189059547788.1338
2018-01-22,,,0.001982883786796694,-0.00029274849886805235,2.12617327,192099954357.02213
2018-01-23,,,0.002932774533990982,0.00010715024553863894,2.00268788,180601416229.53214
2018-01-24,,,0.0028047881700804253,-3.998169906771889e-05,2.02766184,182509946645.00696
2018-01-25,,,0.0028051702425463437,-0.0002258458349927396,2.09753554,188868250111.49985
2018-01-26,,,0.0027698293481033566,0.0004743720652842175,2.08000559,187284665737.68317
2018-01-29,,,0.0021974601258503046,0.00013203809542307608,2.15410037,195521978595.36047
2018-01-30,,,0.0023228200438847463,-7.001666118925794e-05,2.06552658,187405821048.53976
2018-01-31,,,0.0028880888312487647,2.496686048443896e-05,1.85916763,167680159360.35452
2018-02-01,,,0.0025545858225597376,-0.00029093968469733555,1.87794381,169219353157.635
2018-02-02,,,0.0053509928969179745,0.0017297367717937526,1.69691999,152227586137.8496
2018-02-05,,,0.0032781451652034634,0.0014184510303749428,1.56184746,138987436238.7948
2018-02-06,,,0.005184437335054931,0.0006893808319130551,1.30831891,115402453262.58664
2018-02-07,,,0.005896992763432789,0.0014637061120743038,1.48101152,130398654837.18138
2018-02-08,,,0.002429922224823902,-0.0005455829809728259,1.46484643,128490337875.27019
2018-02-09,,,0.0028891822042675964,0.0007778196649750813,1.58085047,138513689945.96112
2018-02-12,,,0.0017887569158994486,-0.001688012444934769,1.55971533,136503442480.99644
2018-02-13,,,0.0017873828594645266,-0.0002720123747245231,1.71364615,150193661791.17108
2018-02-14,,,0.002127166930063413,0.00016578904260170597,1.64241903,143741453662.46915
2018-02-15,,,0.002056346001562225,-0.00044094854246661783,1.81957973,159670278815.20184
2018-02-16,,,0.002196918546630198,-4.3577887497847294e-05,1.93482187,170471136968.4026
2018-02-20,,,0.001731296079437263,-0.00040077878064627453,2.11485368,187976194475.8602
2018-02-21,,,0.00233537892198959,0.00035155482494301685,2.12780635,189794491196.21033
2018-02-22,,,0.002617395382522093,0.0005622437448800233,1.97827013,176533469479.5317
2018-02-23,,,0.002169795631426155,0.0004930648492579572,1.84607258,166750223696.01343
2018-02-26,,,0.0012879253332147603,0.0002654056514739675,1.7940982,162164887219.03528
2018-02-27,,,0.0020974921876234912,0.0003099115483377978,1.92409125,174157924575.1811
2018-02-28,,,0.002135417582981592,-8.134361117635112e-05,1.98459986,179950653847.5196
2018-03-01,,,0.0023877732976714827,-1.2237377281520475e-05,1.91774992,174108312562.12915
2018-03-02,,,0.0025398769679309016,0.0007775024165410497,2.0275908,184546671784.81293
2018-03-05,,,0.001148929122109256,5.412997355909826e-05,2.11715719,193721221886.4619
2018-03-06,,,0.001943985803165721,8.191267059613472e-05,2.124487,195062277838.50427
2018-03-07,-0.9699116561051758,-0.13632478635862652,0.001837053478834342,0.0001352788746888013,1.96727059,180485923073.3736
2018-03-08,-0.5242297803670138,-0.11710147604614006,0.0023721040213107885,0.0001458366524584014,1.82720774,167422408355.89157
2018-03-09,-0.9047255104917337,-1.7488649319654517,0.0018894107902299594,-0.0008527384154804225,1.72480924,157760715442.68665
2018-03-12,-1.2227439756144587,0.01294982504322637,0.0014649193615552097,0.00019923235578983084,1.76958222,160908118884.2804
2018-03-13,-1.1030018840902511,-0.5317749738143682,0.0015791086501607112,-0.00012678469096272813,1.70331347,154742152551.3773
2018-03-14,-0.7275484341440049,-0.2547620940771378,0.00202289140034625,3.4057575816364245e-05,1.70702426,154974273658.91028
2018-03-15,-0.5506087575953571,0.20165372195060519,0.002228867599695831,0.0003004301678079033,1.53691592,139113345204.6385
