date,publish_date,real_rate_10y,real_rate_10y_pctl
2015-01-02,2015-01-03,0.41,
2015-01-05,2015-01-06,0.4,
2015-01-06,2015-01-07,0.41,
2015-01-07,2015-01-08,0.39,
2015-01-08,2015-01-09,0.41,
2015-01-09,2015-01-10,0.36,
2015-01-12,2015-01-13,0.35,
2015-01-13,2015-01-14,0.37,
2015-01-14,2015-01-15,0.29,
2015-01-15,2015-01-16,0.19,
2015-01-16,2015-01-17,0.23,
2015-01-20,2015-01-21,0.23,
2015-01-21,2015-01-22,0.26,
2015-01-22,2015-01-23,0.29,
2015-01-23,2015-01-24,0.21,
2015-01-26,2015-01-27,0.22,
2015-01-27,2015-01-28,0.17,
2015-01-28,2015-01-29,0.12,
2015-01-29,2015-01-30,0.15,
2015-01-30,2015-01-31,0.03,
2015-02-02,2015-02-03,0.03,
2015-02-03,2015-02-04,0.09,
2015-02-04,2015-02-05,0.1,
2015-02-05,2015-02-06,0.13,
2015-02-06,2015-02-07,0.24,
2015-02-09,2015-02-10,0.25,
2015-02-10,2015-02-11,0.31,
2015-02-11,2015-02-12,0.32,
2015-02-12,2015-02-13,0.33,
2015-02-13,2015-02-14,0.34,
2015-02-17,2015-02-18,0.43,
2015-02-18,2015-02-19,0.36,
2015-02-19,2015-02-20,0.37,
2015-02-20,2015-02-21,0.38,
2015-02-23,2015-02-24,0.34,
2015-02-24,2015-02-25,0.27,
2015-02-25,2015-02-26,0.24,
2015-02-26,2015-02-27,0.24,
2015-02-27,2015-02-28,0.17,
2015-03-02,2015-03-03,0.25,
2015-03-03,2015-03-04,0.26,
2015-03-04,2015-03-05,0.25,
2015-03-05,2015-03-06,0.27,
2015-03-06,2015-03-07,0.41,
2015-03-09,2015-03-10,0.44,
2015-03-10,2015-03-11,0.41,
2015-03-11,2015-03-12,0.39,
2015-03-12,2015-03-13,0.39,
2015-03-13,2015-03-14,0.44,
2015-03-16,2015-03-17,0.45,
2015-03-17,2015-03-18,0.42,
2015-03-18,2015-03-19,0.23,
2015-03-19,2015-03-20,0.19,
2015-03-20,2015-03-21,0.17,
2015-03-23,2015-03-24,0.17,
2015-03-24,2015-03-25,0.11,
2015-03-25,2015-03-26,0.12,
2015-03-26,2015-03-27,0.21,
2015-03-27,2015-03-28,0.19,
2015-03-30,2015-03-31,0.23,38.333333333333336
2015-03-31,2015-04-01,0.18,22.950819672131146
2015-04-01,2015-04-02,0.07,4.838709677419355
2015-04-02,2015-04-03,0.11,11.11111111111111
2015-04-03,2015-04-04,0.02,1.5625
2015-04-06,2015-04-07,0.07,7.6923076923076925
2015-04-07,2015-04-08,0.04,6.0606060606060606
2015-04-08,2015-04-09,0.08,10.44776119402985
2015-04-09,2015-04-10,0.13,22.058823529411764
2015-04-10,2015-04-11,0.14,23.18840579710145
2015-04-13,2015-04-14,0.14,24.285714285714285
2015-04-14,2015-04-15,0.1,14.084507042253522
2015-04-15,2015-04-16,0.07,9.722222222222223
2015-04-16,2015-04-17,0.05,6.8493150684931505
2015-04-17,2015-04-18,-0.02,1.3513513513513513
2015-04-20,2015-04-21,0.01,2.666666666666667
2015-04-21,2015-04-22,0.06,10.526315789473683
2015-04-22,2015-04-23,0.12,25.97402597402597
2015-04-23,2015-04-24,0.07,15.384615384615385
2015-04-24,2015-04-25,0.04,8.860759493670885
2015-04-27,2015-04-28,0.03,7.5
2015-04-28,2015-04-29,0.11,25.925925925925924
2015-04-29,2015-04-30,0.14,35.36585365853659
2015-04-30,2015-05-01,0.11,26.506024096385545
2015-05-01,2015-05-02,0.18,44.047619047619044
2015-05-04,2015-05-05,0.24,60.0
2015-05-05,2015-05-06,0.25,63.95348837209303
2015-05-06,2015-05-07,0.34,77.01149425287356
2015-05-07,2015-05-08,0.3,70.45454545454545
2015-05-08,2015-05-09,0.28,67.41573033707866
2015-05-11,2015-05-12,0.4,88.88888888888889
2015-05-12,2015-05-13,0.4,89.01098901098901
2015-05-13,2015-05-14,0.41,94.56521739130434
2015-05-14,2015-05-15,0.36,78.49462365591397
2015-05-15,2015-05-16,0.31,69.14893617021278
2015-05-18,2015-05-19,0.37,81.05263157894737
2015-05-19,2015-05-20,0.42,95.83333333333334
2015-05-20,2015-05-21,0.38,81.44329896907216
2015-05-21,2015-05-22,0.35,73.46938775510205
2015-05-22,2015-05-23,0.34,71.71717171717171
2015-05-26,2015-05-27,0.32,67.0
2015-05-27,2015-05-28,0.34,72.27722772277228
2015-05-28,2015-05-29,0.33,67.64705882352942
2015-05-29,2015-05-30,0.32,66.01941747572816
2015-06-01,2015-06-02,0.39,85.57692307692307
2015-06-02,2015-06-03,0.44,99.04761904761905
2015-06-03,2015-06-04,0.55,100.0
2015-06-04,2015-06-05,0.5,99.06542056074767
2015-06-05,2015-06-06,0.55,100.0
2015-06-08,2015-06-09,0.54,98.1651376146789
2015-06-09,2015-06-10,0.56,100.0
2015-06-10,2015-06-11,0.63,100.0
2015-06-11,2015-06-12,0.56,99.10714285714286
2015-06-12,2015-06-13,0.55,97.34513274336283
2015-06-15,2015-06-16,0.51,93.85964912280701
2015-06-16,2015-06-17,0.44,91.30434782608695
2015-06-17,2015-06-18,0.42,87.06896551724138
2015-06-18,2015-06-19,0.46,92.3076923076923
2015-06-19,2015-06-20,0.4,78.8135593220339
2015-06-22,2015-06-23,0.47,92.43697478991596
2015-06-23,2015-06-24,0.5,93.33333333333333
2015-06-24,2015-06-25,0.48,91.73553719008265
2015-06-25,2015-06-26,0.49,91.80327868852459
2015-06-26,2015-06-27,0.57,99.1869918699187
2015-06-29,2015-06-30,0.46,88.70967741935483
2015-06-30,2015-07-01,0.48,90.4
2015-07-01,2015-07-02,0.54,94.44444444444444
2015-07-02,2015-07-03,0.49,90.5511811023622
2015-07-06,2015-07-07,0.43,81.25
2015-07-07,2015-07-08,0.4,72.86821705426357
2015-07-08,2015-07-09,0.39,69.23076923076923
2015-07-09,2015-07-10,0.47,87.78625954198473
2015-07-10,2015-07-11,0.55,96.96969696969697
2015-07-13,2015-07-14,0.58,99.24812030075188
2015-07-14,2015-07-15,0.56,97.76119402985076
2015-07-15,2015-07-16,0.52,91.11111111111111
2015-07-16,2015-07-17,0.52,91.17647058823529
2015-07-17,2015-07-18,0.51,89.78102189781022
2015-07-20,2015-07-21,0.56,97.82608695652173
2015-07-21,2015-07-22,0.53,90.64748201438849
2015-07-22,2015-07-23,0.53,90.71428571428571
2015-07-23,2015-07-24,0.49,85.1063829787234
2015-07-24,2015-07-25,0.51,88.02816901408451
2015-07-27,2015-07-28,0.5,86.01398601398601
2015-07-28,2015-07-29,0.51,88.19444444444444
2015-07-29,2015-07-30,0.52,89.65517241379311
2015-07-30,2015-07-31,0.51,87.67123287671232
2015-07-31,2015-08-01,0.46,77.55102040816327
2015-08-03,2015-08-04,0.46,77.7027027027027
2015-08-04,2015-08-05,0.52,89.93288590604027
2015-08-05,2015-08-06,0.58,99.33333333333333
2015-08-06,2015-08-07,0.56,97.35099337748345
2015-08-07,2015-08-08,0.52,88.81578947368422
2015-08-10,2015-08-11,0.55,94.11764705882352
2015-08-11,2015-08-12,0.49,79.87012987012987
2015-08-12,2015-08-13,0.52,88.38709677419355
2015-08-13,2015-08-14,0.57,98.07692307692307
2015-08-14,2015-08-15,0.58,99.36305732484077
2015-08-17,2015-08-18,0.58,99.36708860759494
2015-08-18,2015-08-19,0.62,99.37106918238993
2015-08-19,2015-08-20,0.55,91.875
2015-08-20,2015-08-21,0.53,86.95652173913044
2015-08-21,2015-08-22,0.52,85.18518518518519
2015-08-24,2015-08-25,0.52,85.2760736196319
2015-08-25,2015-08-26,0.59,98.78048780487805
2015-08-26,2015-08-27,0.65,100.0
2015-08-27,2015-08-28,0.6,98.19277108433735
2015-08-28,2015-08-29,0.58,97.0059880239521
2015-08-31,2015-09-01,0.58,97.02380952380952
2015-09-01,2015-09-02,0.6,98.22485207100591
2015-09-02,2015-09-03,0.64,99.41176470588235
2015-09-03,2015-09-04,0.64,99.41520467836257
2015-09-04,2015-09-05,0.62,97.67441860465115
2015-09-08,2015-09-09,0.67,100.0
2015-09-09,2015-09-10,0.65,99.42528735632183
2015-09-10,2015-09-11,0.64,98.28571428571429
2015-09-11,2015-09-12,0.61,94.88636363636364
2015-09-14,2015-09-15,0.62,96.045197740113
2015-09-15,2015-09-16,0.72,100.0
2015-09-16,2015-09-17,0.73,100.0
2015-09-17,2015-09-18,0.63,95.55555555555556
2015-09-18,2015-09-19,0.58,90.60773480662984
2015-09-21,2015-09-22,0.66,98.35164835164835
2015-09-22,2015-09-23,0.63,95.08196721311475
2015-09-23,2015-09-24,0.64,96.73913043478261
2015-09-24,2015-09-25,0.64,96.75675675675676
2015-09-25,2015-09-26,0.71,98.9247311827957
2015-09-28,2015-09-29,0.71,98.93048128342245
2015-09-29,2015-09-30,0.66,97.3404255319149
2015-09-30,2015-10-01,0.65,96.29629629629629
2015-10-01,2015-10-02,0.59,87.36842105263159
2015-10-02,2015-10-03,0.51,69.10994764397905
2015-10-05,2015-10-06,0.56,81.77083333333334
2015-10-06,2015-10-07,0.53,74.61139896373057
2015-10-07,2015-10-08,0.53,74.74226804123711
2015-10-08,2015-10-09,0.54,75.8974358974359
2015-10-09,2015-10-10,0.58,86.73469387755102
2015-10-13,2015-10-14,0.54,75.63451776649747
